sno,route_id,stop_id,stop_name
185,L7B,7,Harish Mukherjee Road
186,L7B,8,Chowringhee
187,L7B,9,B.B.D. Bag
188,8,1,Ramlal Bazar
189,8,2,Howrah Stn.
190,8,3,Kasba Rd.
191,8,4,Rash Behari Avenue
192,8,5,Gariahat Rd.
193,8,6,Hazra Rd.
194,8,7,Sarat Bose Rd.
195,8,8,Acharya J.C. Bose Rd.
196,8,9,Elliot Rd.
197,8,10,Royd St.
198,8,11,Rafi Ahmed Kidwai Rd.
199,8,12,S.N. Banerjee Rd.
200,8,13,Esplanade
201,8,14,B.B.D. Bag
202,8,15,Koilaghata St.
203,8,16,Strand Road
204,8B,1,Jadavpur
205,8B,2,Howrah Stn.
206,8B,3,Raja Subodh Mallick Rd.
207,8B,4,Dhakuria
208,8B,5,Gariahat Rd.
209,8B,6,Rash Behari Avenue
210,8B,7,Sarat Bose Rd.
211,8B,8,Acharya J.C. Bose Rd.
212,8B,9,Sealdah Fly Over
213,8B,10,Acharya Prafulla Ch. Rd.
214,8B,11,Maniktala Bazar
215,8B,12,Vivekananda Rd.
216,8B,13,Ganesh Talkies
217,8B,14,Kali Krishna Tagore Street
218,8B,15,Strand Road
219,9,1,Ultadanga
220,9,2,Rabindra Sadan
221,9,3,Ultadanga Main Road
222,9,4,Aurobindo Setu
223,9,5,A.P.C. Road
224,9,6,Chittaranjan Ave.
225,9,7,Esplanade
226,9,8,B.B. Ganguly St.

sno,route_id,stop_id,stop_name
0,9A,1,Sechbhavan
1,9A,2,Sealdah
2,9A,3,Bagmari
3,9A,4,Maniktala
4,9A,5,Rajabazar
5,9B,1,Santoshpur
6,9B,2,Hazra
7,9B,3,E.M. Bypass
8,9B,4,Bijon Setu
9,9B,5,Rashbehari
10,9B,6,Jadavpur (Rly.Stn)
11,9B,7,Esplanade
12,9B,8,Jadavpur Stn. Rd.
13,9B,9,Raja Subodh Mullick Rd.
14,9B,10,Dhakuria
15,9B,11,Golpark
16,9B,12,Southern Ave.
17,9B,13,Sarat Bose Rd.
18,9B,14,Jagadish Bose Rd.
19,9B,15,Chowringhee Rd.
20,9B,16,B.B.D. Bag (during office hours)
21,L9,1,Golpark
22,L9,2,Bagbazar
23,L9,3,Southern Ave.
24,L9,4,Sarat Bose Rd.
25,L9,5,A.J.C. Bose Rd.
26,L9,6,Chowringhee Rd.
27,L9,7,Esplanade
28,L9,8,C.R. Ave.
29,L9,9,Two Buses (9 A.M. & 9:20 A.M.) leave Lake depot
30,L9A,1,Rabindra Sadan
31,L9A,2,Dunlop Bridge
32,L9A,3,Esplanade
33,L9A,4,C.R. Avenue
34,L9A,5,A.P.C. Rd.
35,L9A,6,Shyambazar
36,L9A,7,B.T. Road
37,9,1,Manicktala Junction
38,9,2,Sechbhavan (Salt Lake)
39,9,3,Manicktala Main Rd.
40,9,4,Kankurgachi
41,9,5,V.I.P. Rd.
42,9,6,Nazrul Islam Sn.
43,9,7,Labony
44,9A,1,Santoshpur
45,9A,2,Hazra Park
46,9A,3,E.M. By Pass
47,9A,4,Bijon Setu
48,9A,5,Gariahat
49,9A,6,Rash Behari Avenue
50,10,1,Ballygunge Stn.
51,10,2,Howrah Stn.
52,10,3,Rash Behari Avenue
53,10,4,Gariahat Rd.
54,10,5,Syed Amir Ali Ave.
55,10,6,Suhrwardy Ave.
56,10,7,Dr. Sundari Mohan Ave.
57,10,8,Acharya J.C. Bose Rd.
58,10,9,Sealdah Fly Over
59,10,10,Mahatma Gandhi Road
60,11,1,Rathtala (Belgharia)
61,11,2,Howrah Stn.
62,11,3,B.T. Rd.
63,11,4,Sinthi More
64,11,5,Chiria More
65,11,6,Hemanta Setu
66,11,7,Shyambazar
67,11,8,Acharya Profulla Ch. Rd.
68,11,9,Sealdah
69,11,10,Mahatma Gandhi Road
70,11A,1,Dum Dum Stn.
71,11A,2,Howrah Stn.
72,11A,3,Dum Dum Stn.Rd.
73,11A,4,B.T. Rd.
74,11A,5,Shyambazar
75,11A,6,Acharya Prafulla Ch. Rd.
76,11A,7,Manicktala Bazar
77,11A,8,Beadon St.
78,11A,9,Rabindra Sarani
79,11A,10,Ganesh Talkies
80,11A,11,Kalikrishna Tagore St.
81,11A,12,Strand Road
82,12D,1,Howrah Stn.
83,12D,2,Thakurpukur
84,12D,3,Howrah Bridge
85,12D,4,Strand Rd.
86,12D,5,Koilaghat St.
87,12D,6,B.B.D. Bag
88,12D,7,Esplanade
89,12D,8,Kidderpore Rd.
90,12D,9,Diamond Harbour Rd.
91,12D,10,Mominpur
92,12D,11,Majherhat
93,12D,12,Behala
94,12D,13,Barisa Silpara (during office hours)
95,L14A,1,Esplanade
96,L14A,2,Vidyasagar Samity (Salt Lake)
97,L14A,3,B.B.D. Bag
98,L14A,4,Esplanade
99,L14A,5,Lenin Sarani
100,L14A,6,S.N. Banerjee Rd. (return journey)
101,L14A,7,Nirmal Ch. St.
102,L14A,8,College St.
103,L14A,9,Bidhan Sarani
104,L14A,10,Vivekananda Rd.
105,L14A,11,Manicktala Bazar
106,L14A,12,Manicktala Main Rd.
107,L14A,13,Kankurgachi 3A Stand
108,L14A,14,Durgapur Bridge Via-No.1 gate
109,L14A,15,B.B. Ganguly Street (during office hours)

sno,route_id,stop_id,stop_name
0,L14B,1,Karunamayee Estate (Salt Lake)
1,L14B,2,Pumping House
2,L14B,3,P.N. Bank
3,L14B,4,Gate No.1
4,L14B,5,Ultadanga Main Rd.
5,L14B,6,Aurobindo Setu
6,L14B,7,Grey St.
7,L14B,8,Extension Acharya P.C. Rd.
8,L14B,9,Avedananda Rd.
9,L14B,10,Bidhan Sarani
10,L14B,11,College St.
