sno,route_id,stop_id,stop_name
18,4LTD,19,P.Mohammed Rafi Chowk (Bandra-W)
19,4LTD,20,Bandra Talkies / Shroff Eye Hospital
20,4LTD,21,National College
21,4LTD,22,Old Khar
22,4LTD,23,Khar Station (W) Road
23,4LTD,24,Saint Teresa Convent School
24,4LTD,25,Santacruz Station (W) Road
25,4LTD,26,Khira Nagar (Santacruz W)
26,4LTD,27,Santacruz Depot
27,4LTD,28,Nanavati Hospital
28,4LTD,29,Vile Parle Station (W)
29,4LTD,30,Andheri Fire Station
30,4LTD,31,Shoppers Stop
31,4LTD,32,Andheri Station (W)
32,4LTD,33,Andheri Market
33,4LTD,34,Amboli Naka
34,4LTD,35,Jogeshwari (W) Bus Station
35,4LTD,36,Jogeshwari Telephone Exchange
36,4LTD,37,Ajit Glass Factory
37,4LTD,38,Oshiwara Bridge
38,4LTD,39,Goregaon Oshiwara Depot

sno,route_id,stop_id,stop_name
0,6LTD,1,Gawangaon Refineries
1,6LTD,2,Bharat Petroleum Gate
2,6LTD,3,B.D.Patil Marg / Hindustan Petroleum Company
3,6LTD,4,Calico Company
4,6LTD,5,Shankar Mandir
5,6LTD,6,Vashi Naka
6,6LTD,7,Vashi Naka Chembur (E)
7,6LTD,8,RCF Police Station
8,6LTD,9,Aziz Baug
9,6LTD,10,Marawali Church
10,6LTD,11,Chembur Colony
11,6LTD,12,Chembur Colony Chembur (E)
12,6LTD,13,Navjeevan Society
13,6LTD,14,Basant Park
14,6LTD,15,Bhakti Bhavan
15,6LTD,16,Umarshi Bappa Chowk (Chembur)
16,6LTD,17,Lokshahir Annabhau Sathe Udyan / Suman Nagar
17,6LTD,18,Priyadarshini
18,6LTD,19,Everard Colony
19,6LTD,20,Anik Depot
20,6LTD,21,Inter State Bus Terminal
21,6LTD,22,Wadala Truck Terminal (Main Gate)
22,6LTD,23,Bhakti Park Gate (Anik)
23,6LTD,24,Bhakti Park Monorail Station
24,6LTD,25,Ganesh Nagar (Anik)
25,6LTD,26,Adarsh High School (Anik)
26,6LTD,27,Shantinagar (Wadala)
27,6LTD,28,Ganesh Nagar (Wadala)
28,6LTD,29,Barkat Ali Dargah
29,6LTD,30,Barkat Ali June
30,6LTD,31,Wadala Bridge
31,6LTD,32,Wadala Flyover Bridge
32,6LTD,33,Wadala Church
33,6LTD,34,Wadala Church
34,6LTD,35,Five Gardens
35,6LTD,36,Ruia College
36,6LTD,37,Khodadad Circle (Dadar T.T.)
37,6LTD,38,Chitra Cinema
38,6LTD,39,Hindmata Cinema (Dadar)
39,6LTD,40,Madkebuwa Chowk (Parel)
40,6LTD,41,Parel Workshop
41,6LTD,42,Bharatmata Cinema
42,6LTD,43,Sant Jagnade Chowk (Lalbaug)
43,6LTD,44,Shantaram Pujare Chowk (Kala Chowky)
44,6LTD,45,Jaihind Cinema
45,6LTD,46,Jijamata Udyan
46,6LTD,47,Byculla Station (E)
47,6LTD,48,A.H Ansari Chowk (Nagpada)
48,6LTD,49,AH Ansari Chowk (New Nagpada)
49,6LTD,50,Dr.M.Iqbal Chowk (J.J.Hospital)
50,6LTD,51,Johar Chowk (Bhendi Bazar)
51,6LTD,52,Mandvi Post Office
52,6LTD,53,Zakeria Masjid
53,6LTD,54,Chakala Market
54,6LTD,55,Mahatma Phule Market (Crawford Market)
55,6LTD,56,Chhatrapati Shivaji Maharaj Terminus
56,6LTD,57,Khadi Bhandar
57,6LTD,58,Hutatma Chowk / Siddharth College
58,6LTD,59,Hutatma Chowk (Mumbai University)
59,6LTD,60,Dr.Shyamaprasad Mukherjee Chowk (Museum)
60,6LTD,61,Dr. Shyama Prasad Mukherjee Chowk
61,6LTD,62,Colaba Depot

sno,route_id,stop_id,stop_name
0,7LTD,1,Vikhroli Depot
1,7LTD,2,Meena Tai Thackeray Park
2,7LTD,3,Dargah Vikhroli
3,7LTD,4,Damodar Park
4,7LTD,5,Shreyas Cinema
5,7LTD,6,Gopal Bhavan
6,7LTD,7,Sarvodaya Hospital
7,7LTD,8,Ghatkopar Pipe Line
8,7LTD,9,Ghatkopar Police Station
9,7LTD,10,Chirag Nagar
10,7LTD,11,Narayan Nagar (Ghatkopar)
11,7LTD,12,Guru Nanak Nagar (Ghatkopar W)
12,7LTD,13,Mukund Company Kamani
13,7LTD,14,Kamani
14,7LTD,15,State Bank Kamani
15,7LTD,16,Sheetal Cinema Kurla (W)
16,7LTD,17,Old Agra Road Kurla (W)
17,7LTD,18,Kalpana Cinema
18,7LTD,19,Kurla Depot
19,7LTD,20,Kurla Depot
20,7LTD,21,Anjanabai Magar Chowk / Late Sainik Ramchandra Dhondu Surve Chowk
21,7LTD,22,Anjanabai Magar Chowk
22,7LTD,23,Gol Building (Kurla W)
23,7LTD,24,Kurla Post Office
24,7LTD,25,Rajmata Ahilyabai Holkar Udyan / Kurla Lions Udyan
25,7LTD,26,Chunabhatti Phatak
26,7LTD,27,Kurla Level Crossing
27,7LTD,28,Maharashtra Weighing Scale
28,7LTD,29,Naik Nagar
29,7LTD,30,Maharashtra Nature Park / PMGP Colony
30,7LTD,31,Dharavi Depot
31,7LTD,32,Dharavi Depot
32,7LTD,33,Dharavi Koliwada
33,7LTD,34,Dharavi T Junction / Tapase Chowk
34,7LTD,35,Dharavi Flyover / Mahim Flyover
35,7LTD,36,Mahim Phatak
36,7LTD,37,Shahu Nagar (Dharavi)
37,7LTD,38,Matunga Labour Camp
38,7LTD,39,Kumbharwada (Dharavi)
39,7LTD,40,Tilak Hospital
40,7LTD,41,Gandhi Market Matunga
41,7LTD,42,Matunga Police Station
42,7LTD,43,Maheshwari Udyan (Kings Circle)
43,7LTD,44,Maheshwari Udyan (Kings Circle)
44,7LTD,45,Maheshwari Udyan
45,7LTD,46,Kapole Niwas / J.N. Verma Chowk
46,7LTD,47,Ruia College
47,7LTD,48,Ruia College
48,7LTD,49,Khodadad Circle (Dadar T.T.)
49,7LTD,50,Khodadad Circle (Dadar T.T.)
50,7LTD,51,Dadar Post Office
51,7LTD,52,Chitra Cinema
52,7LTD,53,Shinde Wadi
53,7LTD,54,Hindmata Cinema (Dadar)
54,7LTD,55,Madkebuwa Chowk (Parel)
55,7LTD,56,Parel Workshop
56,7LTD,57,Bharatmata Cinema
57,7LTD,58,Sant Jagnade Chowk (Lalbaug)
58,7LTD,59,Shantaram Pujare Chowk (Kala Chowky)
59,7LTD,60,Jaihind Cinema
60,7LTD,61,Jijamata Udyan
61,7LTD,62,Robert Gomes Chowk
62,7LTD,63,Byculla Station (E) / Sant Savta Market
63,7LTD,64,Byculla Station (E)
64,7LTD,65,Byculla Railway Station (E)
65,7LTD,66,A.H Ansari Chowk (Nagpada)
66,7LTD,67,AH Ansari Chowk (New Nagpada)
67,7LTD,68,Dr.M.Iqbal Chowk (J.J.Hospital)

sno,route_id,stop_id,stop_name
0,6LTD,1,Mahul Village
1,6LTD,2,Mahul Market
2,6LTD,3,M.M.R.D.A.Colony
3,6LTD,4,Wadala Road (Mahul)
4,6LTD,5,Mazgaon Dock (Mahul)
5,6LTD,6,Acharya Vidyaniketan
6,6LTD,7,H.P.Colony
7,6LTD,8,B.P.C.L.Sports Club
8,6LTD,9,Shankar Mandir
9,6LTD,10,Vashi Naka
10,6LTD,11,Vashi Naka
11,6LTD,12,R.C.F.Police Station
12,6LTD,13,Aziz Baug
13,6LTD,14,Marawali Church
14,6LTD,15,Chembur Colony
15,6LTD,16,Chembur Colony Chembur (E)
16,6LTD,17,Navjeevan Society
17,6LTD,18,Basant Park
18,6LTD,19,Bhakti Bhavan
19,6LTD,20,Umrashi Bappa Chowk
20,6LTD,21,Lokshahir Annabhau Sathe Udyan / Suman Nagar
21,6LTD,22,Priyadarshini
22,6LTD,23,Everard Colony
23,6LTD,24,Anik Depot
24,6LTD,25,Inter State Bus Terminal
25,6LTD,26,Wadala Truck Terminal (Main Gate)
26,6LTD,27,Bhakti Park Gate (Anik)
27,6LTD,28,Bhakti Park Monorail Station
28,6LTD,29,Ganesh Nagar (Anik)
29,6LTD,30,Adarsh High School (Anik)
30,6LTD,31,Shantinagar (Wadala)
31,6LTD,32,Ganesh Nagar (Wadala)
32,6LTD,33,Barkat Ali Dargah
33,6LTD,34,Barkat Ali June
34,6LTD,35,B.P.T Colony
35,6LTD,36,Wadala Bridge
36,6LTD,37,Wadala Flyover Bridge
37,6LTD,38,Wadala Church
38,6LTD,39,Wadala Church
39,6LTD,40,Five Gardens
40,6LTD,41,Ruia College
41,6LTD,42,Khodadad Circle (Dadar T.T.)
42,6LTD,43,Chitra Cinema
43,6LTD,44,Hindmata Cinema (Dadar)
44,6LTD,45,Madkebuwa Chowk (Parel)
45,6LTD,46,Parel Workshop
46,6LTD,47,Bharatmata Cinema
47,6LTD,48,Sant Jagnade Chowk (Lalbaug)
48,6LTD,49,Shantaram Pujare Chowk (Kala Chowky)
49,6LTD,50,Jaihind Cinema
50,6LTD,51,Jijamata Udyan
51,6LTD,52,Byculla Station (E)
52,6LTD,53,A.H.Ansari Chowk
53,6LTD,54,A.H.Ansari Chowk (New Nagpada)
54,6LTD,55,Dr.M.Iqbal Chowk (J.J.Hospital)
55,6LTD,56,Johar Chowk (Bhendi Bazar)
56,6LTD,57,Mandvi Post Office
57,6LTD,58,Zakeria Masjid
58,6LTD,59,Chakala Market
59,6LTD,60,Mahatma Phule Market (Crawford Market)
60,6LTD,61,Chhatrapati Shivaji Maharaj Terminus
61,6LTD,62,Khadi Bhandar
62,6LTD,63,Hutatma Chowk / Siddharth College
63,6LTD,64,Hutatma Chowk (Mumbai University)
64,6LTD,65,Dr.Shyamaprasad Mukherjee Chowk (Museum)
65,6LTD,66,Dr. Shyama Prasad Mukherjee Chowk
66,6LTD,67,Colaba Depot

sno,route_id,stop_id,stop_name
0,7LTD,1,Vikhroli Depot
1,7LTD,2,Meena Tai Thackeray Park
2,7LTD,3,Dargah Vikhroli
3,7LTD,4,Damodar Park
4,7LTD,5,Shreyas Cinema
5,7LTD,6,Gopal Bhavan
6,7LTD,7,Sarvodaya Hospital
7,7LTD,8,Ghatkopar Pipe Line
8,7LTD,9,Ghatkopar Police Station
9,7LTD,10,Chirag Nagar
10,7LTD,11,Narayan Nagar (Ghatkopar)
11,7LTD,12,Guru Nanak Nagar (Ghatkopar W)
12,7LTD,13,Mukund Company Kamani
13,7LTD,14,Kamani
14,7LTD,15,State Bank Kamani
15,7LTD,16,Sheetal Cinema Kurla (W)
16,7LTD,17,Old Agra Road Kurla (W)
17,7LTD,18,Kalpana Cinema
18,7LTD,19,Kurla Depot
19,7LTD,20,Kurla Depot
20,7LTD,21,Anjanabai Magar Chowk / Late Sainik Ramchandra Dhondu Surve Chowk
21,7LTD,22,Anjanabai Magar Chowk
22,7LTD,23,Gol Building (Kurla W)
23,7LTD,24,Kurla Post Office
24,7LTD,25,Rajmata Ahilyabai Holkar Udyan / Kurla Lions Udyan
25,7LTD,26,Chunabhatti Phatak
26,7LTD,27,Kurla Level Crossing
27,7LTD,28,Maharashtra Weighing Scale
28,7LTD,29,Naik Nagar
29,7LTD,30,Maharashtra Nature Park / PMGP Colony
30,7LTD,31,Dharavi Depot
31,7LTD,32,Dharavi Depot
32,7LTD,33,Dharavi Koliwada
33,7LTD,34,Dharavi T Junction / Tapase Chowk
34,7LTD,35,Dharavi Flyover / Mahim Flyover
35,7LTD,36,Mahim Phatak
36,7LTD,37,Shahu Nagar (Dharavi)
37,7LTD,38,Matunga Labour Camp
38,7LTD,39,Kumbharwada (Dharavi)
39,7LTD,40,Tilak Hospital
40,7LTD,41,Gandhi Market Matunga
41,7LTD,42,Matunga Police Station
42,7LTD,43,Maheshwari Udyan (Kings Circle)
43,7LTD,44,Maheshwari Udyan (Kings Circle)
44,7LTD,45,Maheshwari Udyan
45,7LTD,46,Kapole Niwas / J.N. Verma Chowk
46,7LTD,47,Ruia College
47,7LTD,48,Ruia College
48,7LTD,49,Khodadad Circle (Dadar T.T.)
49,7LTD,50,Khodadad Circle (Dadar T.T.)
50,7LTD,51,Dadar Post Office
51,7LTD,52,Chitra Cinema
52,7LTD,53,Shinde Wadi
53,7LTD,54,Hindmata Cinema (Dadar)
54,7LTD,55,Madkebuwa Chowk (Parel)
55,7LTD,56,Parel Workshop
56,7LTD,57,Bharatmata Cinema
57,7LTD,58,Sant Jagnade Chowk (Lalbaug)
58,7LTD,59,Shantaram Pujare Chowk (Kala Chowky)
59,7LTD,60,Jaihind Cinema
60,7LTD,61,Jijamata Udyan
61,7LTD,62,Robert Gomes Chowk
