sno,route_id,stop_id,stop_name
22,90L/25S,23,Sangeeth
23,90L/25S,24,Secunderabad(Towards Uppal)
24,90L/25S,25,TSRTC Rathifile Bus Station
25,90L/25S,26,Chilkalguda
26,90L/25S,27,Alugadda Bhavi
27,90L/25S,28,Mettuguda
28,90L/25S,29,Nin
29,90L/25S,30,Tarnaka Railway Degree College
30,90L/25S,31,Tarnaka X Road
31,90L/25S,32,Tarnaka
32,90L/25S,33,Habsiguda
33,90L/25S,34,National Geophysical Research Institute (NGRI)
34,90L/25S,35,LFJ College
35,90L/25S,36,Uppal
36,90L/25S,37,Uppal X Road L.B. Nagar
37,90L/25S,38,Uppal Pushpak
38,90L/25S,39,Saraswathi Nagar
39,90L/25S,40,Ramoji Film City
40,90L/25S,41,Mamatha Nagar Colony
41,90L/25S,42,Nagole / Nagole Ring Road
42,90L/25S,43,Nagole
43,90L/25S,44,Snehapuri Colony
44,90L/25S,45,Alkapuri
45,90L/25S,46,Rajeev Gandhi Nagar
46,90L/25S,47,Kamineni
47,90L/25S,48,Central Bank Colony
48,90L/25S,49,L.B. Nagar Ring Road

sno,route_id,stop_id,stop_name
0,24S/219,1,ECIL X Road Bus Terminal
1,24S/219,2,ECIL X Road
2,24S/219,3,ECIL X Road
3,24S/219,4,Kamla Nagar
4,24S/219,5,Radhika
5,24S/219,6,Asrao Nagar
6,24S/219,7,Rukmini Puram
7,24S/219,8,Sainikpuri
8,24S/219,9,Vayupuri
9,24S/219,10,Neredmet X Road
10,24S/219,11,G.K. Colony
11,24S/219,12,R.K. Puram Bridge
12,24S/219,13,A.O.C.
13,24S/219,14,Lal Bazar Bus Stop
14,24S/219,15,Mceme
15,24S/219,16,Maruti Nagar
16,24S/219,17,Lothkunta
17,24S/219,18,Ram Nagar – Alwal
18,24S/219,19,Alwal
19,24S/219,20,Alwal Police Station
20,24S/219,21,Temple Alwal
21,24S/219,22,Old Alwal Z.P.H.S.
22,24S/219,23,Father Balaya Nagar
23,24S/219,24,P.V. Junction
24,24S/219,25,Loyola Academy
25,24S/219,26,Suchitra X Road
26,24S/219,27,Dairy Farm
27,24S/219,28,MMR Gardens
28,24S/219,29,Bowenpally Checkpost
29,24S/219,30,Bowenpally Police Station
30,24S/219,31,Bowenpally X Road
31,24S/219,32,Bowenpally
32,24S/219,33,Ferozeguda
33,24S/219,34,Ferozeguda BHEL
34,24S/219,35,Balanagar-Shobana Theatre
35,24S/219,36,Balanagar X Roads / CITD.all.shops.
36,24S/219,37,Niper
37,24S/219,38,IDPL
38,24S/219,39,Sai Nagar (Bala Nagar)
39,24S/219,40,APSRTC Kukatpally Bus Stand
40,24S/219,41,Kukatpally Government College
41,24S/219,42,Kukatpally
42,24S/219,43,Vivekananda Nagar
43,24S/219,44,Vivekanandanagar Colony RDR Hospital
44,24S/219,45,KPHB Main Road
45,24S/219,46,JNTU
46,24S/219,47,Nizampet X Road
47,24S/219,48,Hyder Nagar
48,24S/219,49,Miyapur Metro Station
49,24S/219,50,Miyapur X Road – SV
50,24S/219,51,Miyapur
51,24S/219,52,Allwyn X Road
52,24S/219,53,Madinaguda
53,24S/219,54,Deepthisri Nagar / Madinaguda
54,24S/219,55,Huda Colony
55,24S/219,56,Gangaram
56,24S/219,57,Chanda Nagar
57,24S/219,58,Lingampally Bus Stand
58,24S/219,59,Lingampally
59,24S/219,60,Jyothi Nagar LP
60,24S/219,61,Ashok Nagar LP
61,24S/219,62,Sri Sai Nagar
62,24S/219,63,Mandal Office
63,24S/219,64,BHEL Pushpak
64,24S/219,65,R.C. Puram
65,24S/219,66,Railway Station Gate
66,24S/219,67,ICRISAT
67,24S/219,68,Patancheru
68,24S/219,69,Patancheru Bus Terminal

sno,route_id,stop_id,stop_name
0,1P/25S,1,Chandrayangutta X Road
1,1P/25S,2,Falaknuma RLY Bridge
2,1P/25S,3,Falaknuma Terminal
3,1P/25S,4,Engine Bowli
4,1P/25S,5,Shamsheergunj
5,1P/25S,6,Aliyabad
6,1P/25S,7,Sayed Ali Chabutra
7,1P/25S,8,Lal Dharwaza Mode
8,1P/25S,9,Shah Ali Banda X Road
